            Bill of Materials For _Greenpower_Formula24_Kit_Car.asm
Level          	Document Number	Revision       	Title          	Quantity       	
1              	               	               	               	2              	
1              	               	               	               	2              	
1              	               	               	               	2              	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	48             	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
1              	               	               	               	17             	
1              	               	               	               	8              	
1              	               	               	               	2              	
1              	               	               	               	1              	
1              	               	               	               	6              	
1              	               	               	               	2              	
1              	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	2              	
 2             	               	               	               	1              	
1              	               	               	               	1              	
 2             	               	               	               	39             	
  3            	               	               	               	2              	
 2             	               	               	               	41             	
  3            	               	               	               	2              	
  3            	               	               	               	2              	
  3            	               	               	               	2              	
  3            	               	               	               	2              	
 2             	               	               	               	2              	
1              	               	               	               	48             	
1              	               	               	               	2              	
1              	               	               	               	1              	
1              	               	               	               	15             	
1              	               	               	               	1              	
1              	               	               	               	2              	
 2             	               	               	               	2              	
 2             	               	               	               	2              	
 2             	               	               	               	2              	
 2             	               	               	               	1              	
 2             	               	               	               	2              	
1              	               	               	               	1              	
1              	               	               	               	1              	
 2             	               	               	               	2              	
1              	               	               	               	1              	
1              	               	               	               	1              	
 2             	               	               	               	2              	
1              	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
1              	               	               	               	8              	
1              	               	               	               	2              	
1              	               	               	               	2              	
1              	               	               	               	6              	
1              	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
1              	               	               	               	4              	
1              	               	               	               	4              	
1              	               	               	               	13             	
1              	               	               	               	1              	
1              	               	               	               	1              	
 2             	               	               	               	1              	
  3            	               	               	               	2              	
  3            	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
1              	               	               	               	1              	
1              	               	               	               	1              	
 2             	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
   4           	               	               	               	1              	
   4           	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	2              	
 2             	               	               	               	2              	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	1              	
  3            	               	               	               	2              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	2              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
1              	               	               	               	1              	
 2             	               	               	               	4              	
 2             	               	               	               	4              	
 2             	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
 2             	               	               	               	1              	
 2             	               	               	               	2              	
1              	               	               	               	1              	
 2             	               	               	               	6              	
 2             	               	               	               	6              	
 2             	               	               	               	2              	
 2             	               	               	               	1              	
 2             	               	               	               	2              	
 2             	               	               	               	1              	
1              	               	 Floor         	               	1              	
1              	               	               	               	2              	
 2             	               	               	               	2              	
 2             	               	               	               	1              	
1              	               	               	               	19             	
1              	               	               	               	1              	
 2             	               	               	               	1              	
  3            	F24 - DWG#10   	A              	F24 CHASSIS    	2              	
  3            	               	               	               	1              	
  3            	F24 - DWG#29   	A              	F24 CHASSIS    	1              	
  3            	               	               	               	4              	
  3            	               	               	               	1              	
  3            	               	               	               	2              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	Angle  1 x 1 x 	1              	
               	               	               	1/8            	               	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	Angle  1 x 1 x 	1              	
               	               	               	1/8            	               	
  3            	               	               	               	1              	
   4           	McMASTER CARR  	A              	Low-Strength   	1              	
               	P/N: 90473A030 	               	Steel Hex Nut  	               	
   4           	McMASTER CARR  	A              	Low-Strength   	1              	
               	P/N: 91309A593 	               	Zinc-Plated    	               	
               	OR EQUIVALENT  	               	Steel Cap Screw	               	
   4           	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	Angle  1 x 1 x 	1              	
               	               	               	1/8            	               	
  3            	               	               	Angle  1 x 1 x 	1              	
               	               	               	1/8            	               	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
  3            	               	               	               	1              	
